nodeid,voltage,current,power,energy,pf,frequency,relay,timestamp_ist
NODE_3,219.1,0.401,76,17.488,0.87,49.9,ON,'2025-12-10 15:50:26
NODE_3,218.2,0.4,75.3,17.488,0.86,49.9,ON,'2025-12-10 15:50:36
NODE_3,218.2,0.399,75.3,17.488,0.86,50,ON,'2025-12-10 15:50:47
NODE_3,218.6,0.4,75.6,17.488,0.86,50,ON,'2025-12-10 15:50:58
NODE_3,219,0.399,75.7,17.489,0.87,50,ON,'2025-12-10 15:51:08
NODE_3,219.3,0.4,75.9,17.489,0.87,50,ON,'2025-12-10 15:51:19
NODE_3,219.5,0.4,76.1,17.489,0.87,50,ON,'2025-12-10 15:51:30
NODE_3,219.5,0.399,75.8,17.489,0.87,49.9,ON,'2025-12-10 15:51:40
NODE_3,218.8,0.397,75.3,17.489,0.87,49.9,ON,'2025-12-10 15:51:51
NODE_3,217.8,0.395,74.5,17.49,0.87,49.9,ON,'2025-12-10 15:52:03
NODE_3,219.1,0.396,75.4,17.49,0.87,49.9,ON,'2025-12-10 15:52:13
NODE_3,219.1,0.395,75.1,17.49,0.87,49.9,ON,'2025-12-10 15:52:23
NODE_3,218.2,0.393,74.3,17.49,0.87,49.9,ON,'2025-12-10 15:52:33
NODE_3,218.5,0.395,74.7,17.49,0.87,49.9,ON,'2025-12-10 15:52:43
NODE_3,219,0.394,74.9,17.491,0.87,49.9,ON,'2025-12-10 15:53:15
NODE_3,218.5,0.393,74.4,17.491,0.87,49.9,ON,'2025-12-10 15:53:25
NODE_3,218.6,0.392,74.4,17.492,0.87,50,ON,'2025-12-10 15:53:35
NODE_3,219.1,0.393,74.8,17.492,0.87,49.9,ON,'2025-12-10 15:53:46
NODE_3,217.9,0.39,73.7,17.492,0.87,49.9,ON,'2025-12-10 15:53:56
NODE_3,218.7,0.392,74.5,17.492,0.87,49.9,ON,'2025-12-10 15:54:06
NODE_3,218.1,0.391,74,17.492,0.87,49.9,ON,'2025-12-10 15:54:17
NODE_3,218.9,0.392,74.6,17.493,0.87,49.9,ON,'2025-12-10 15:54:27
NODE_3,218.2,0.39,73.9,17.493,0.87,49.9,ON,'2025-12-10 15:54:38
NODE_3,218.7,0.391,74.3,17.493,0.87,49.9,ON,'2025-12-10 15:54:49
NODE_3,219.3,0.392,74.7,17.493,0.87,49.9,ON,'2025-12-10 15:55:00
NODE_3,218.7,0.391,74.2,17.494,0.87,50,ON,'2025-12-10 15:55:10
NODE_3,218.2,0.389,73.8,17.494,0.87,49.9,ON,'2025-12-10 15:55:21
NODE_3,218.5,0.39,74,17.494,0.87,50,ON,'2025-12-10 15:55:31
NODE_3,219,0.39,74.2,17.494,0.87,50,ON,'2025-12-10 15:55:42
NODE_3,219.4,0.391,74.5,17.494,0.87,49.9,ON,'2025-12-10 15:55:53
NODE_3,219.5,0.391,74.7,17.495,0.87,50,ON,'2025-12-10 15:56:04
NODE_3,219.3,0.39,74.5,17.495,0.87,50,ON,'2025-12-10 15:56:14
NODE_3,218.7,0.389,74,17.495,0.87,50,ON,'2025-12-10 15:56:24
NODE_3,218.5,0.388,73.6,17.495,0.87,50,ON,'2025-12-10 15:56:36
NODE_3,219.5,0.39,74.5,17.495,0.87,50,ON,'2025-12-10 15:56:46
NODE_3,220.2,0.392,75.1,17.496,0.87,50,ON,'2025-12-10 15:56:57
NODE_3,219.7,0.396,75.4,17.497,0.87,50,ON,'2025-12-10 16:00:16
NODE_3,220.4,0.395,75.6,17.497,0.87,50,ON,'2025-12-10 16:00:28
NODE_3,220.5,0.395,75.6,17.497,0.87,50.1,ON,'2025-12-10 16:00:38
